omop_cdm_code,"icd9_code","snomed_ct_code"
192855,"233.7","92546004"
200054,"189.2","94121005"
432582,"238.9","118616009"
260131,"519.19","41427001"
378679,"045.90","398102009"
434492,"795.4","309198006"
4059014,"782.7","161887000"
442297,"507.8","57463004"
73553,"716.96","399269003"
137005,"519.00","68033004"
4110047,"491","195956002"
4147961,"V76.10","268547008"
4179963,"V16.3","429740004"
433168,"280.1","371315009"
435782,"295.02","83746006"
261495,"012.00","186182003"
440276,"996.67","31871009"
4110046,"491.2","195952000"
432738,"780.71","52702003"
436635,"153.3","94006002"
440979,"283.9","4854004"
442011,"996.01","12727006"
444291,"389.11","85571008"
4059948,"780","161919007"
4178898,"V60.2","5015009"
260430,"482.82","51530003"
317003,"459.2","14540002"
436539,"822.0","80756009"
141825,"240.0","267369002"
438701,"199.0","285645000"
193693,"070.9","111896003"
374142,"742.8","88425004"
376229,"781.0","260912008"
75686,"882.1","13736001"
199875,"618.0","354737001"
201129,"777.3","23688003"
315505,"229.0","92197001"
441447,"878.8","17553005"
4162218,"618.6","398061002"
77081,"726.72","50127006"
198520,"721.42","67437007"
435754,"153.6","363412000"
194684,"555.1","7620006"
259865,"616.2","57044006"
31602,"478.70","60600009"
372766,"873.9","775008"
4090216,"140.3","187606005"
4170137,"381.4","275481002"
318448,"426.13","195042002"
375557,"434.10","75543006"
377085,"742.4","57148006"
440377,"344.9","44695005"
374024,"349.0","267596000"
137057,"681.11","71906005"
137900,"461.3","77919000"
261600,"518.4","40541001"
316457,"530.7","35265002"
440371,"279.8","414029004"
432508,"996.2","16411000"
76786,"717.9","63643000"
140489,"701.2","72129000"
198483,"623.2","266593004"
200215,"789.40","72300008"
73553,"719.96","399269003"
373747,"333.90","76349003"
438887,"821.01","26442006"
74396,"524.60","41888000"
76504,"730.89","111252006"
132393,"707.21","421076008"
134441,"707.8","19429009"
135340,"707.23","421927004"
135473,"110.9","47382004"
135893,"707.07","225561003"
138667,"E878.3","225577002"
195339,"707.04","301015006"
199075,"596.54","398064005"
258180,"482.83","430395005"
261324,"482.30","34020007"
316084,"289.3","19471005"
373182,"335.20","86044005"
374631,"335.29","37340000"
374914,"344.00","11538006"
375239,"331.9","52522001"
376680,"345.00","192979009"
433968,"112.9","78048006"
433985,"278.3","35487009"
434073,"525.10","37320007"
434675,"536.42","309773000"
434675,"536.49","309773000"
439654,"345.41","192999003"
444419,"344.09","91327001"
4022073,"V46.3","105503008"
4066036,"537.4","17206008"
4199550,"V49.84","302043000"
4216894,"790.01","417186004"
4326838,"707.02","430950005"
40481091,"525.50","444818007"
440647,"099.9","8098009"
195590,"598.9","76618002"
4186238,"132.9","414618002"
4012297,"816.0","208462002"
25844,"530.2","30811009"
314171,"796.3","271870002"
443344,"530.85","302914006"
436148,"532.40","62341002"
434169,"793.89","274530001"
441482,"V68.9","185351004"
76548,"835.00","63079007"
24897,"231.0","92634009"
435835,"457.9","105983000"
440700,"331.3","271569006"
441874,"434.00","71444005"
441874,"434.01","71444005"
74216,"955.9","212361009"
376094,"290.41","191464005"
435739,"095.8","72083004"
375252,"379.90","371405004"
201605,"550.00","31518001"
319845,"424.3","76267008"
437896,"438.19","62305002"
438370,"187.2","371989002"
432499,"996.03","78717006"
378125,"290.12","12348006"
441481,"995.85","406137001"
197601,"608.1","49263001"
438297,"996.04","75446001"
4108242,"427.3","195082009"
4166776,"728.6","274142002"
80852,"807.04","39335003"
435937,"798.0","51178009"
136354,"198.2","94579000"
81723,"923.20","5662003"
77030,"611.79","79604008"
77630,"726.2","118944007"
77646,"731.8","240134003"
134735,"730.18","40970001"
136960,"336.1","29774004"
137077,"730.17","268019002"
139906,"722.71","75467001"
433696,"040.0","80466000"
434010,"301.22","31027006"
436665,"296.89","13746004"
438827,"709.4","77403000"
441482,"V68.89","185351004"
441536,"276.4","76220009"
4001138,"729","203098003"
4082086,"V63.1","183929004"
4103642,"V49.72","299657000"
195240,"344.3","80420005"
378425,"373.9","41446000"
380403,"373.11","1489008"
4117578,"719","202362006"
4201412,"V57.3","5154007"
196454,"569.6","197238009"
436587,"987.9","57335002"
78230,"714.2","239793008"
73560,"726.73","55260003"
139899,"694.5","86142006"
4258683,"560.32","44635007"
194847,"996.31","79315005"
195482,"159.0","371992003"
196044,"151.9","372014001"
197324,"568.9","66579008"
201045,"455.4","26373009"
261687,"786.30","66857006"
316998,"426.3","63467002"
381001,"368.10","78455002"
381290,"365.04","4210003"
438438,"410.0","70211005"
4282684,"369.70","36794003"
72926,"386.40","89097000"
79873,"592.9","371438008"
80070,"274.11","267441009"
134324,"272.6","71325002"
140090,"354.1","397751001"
201914,"627.0","88424000"
74505,"820.22","68510005"
201965,"785.50","27942005"
312327,"410.92","57054005"
320827,"747.22","204431007"
435956,"820.03","1705000"
374347,"372.20","68659002"
380720,"371.22","27536004"
436695,"371.43","35055000"
374055,"435.0","64009001"
4164707,"V64.2","29242007"
259043,"492.0","57686001"
258458,"511.1","85426002"
376337,"349.89","118940003"
438750,"361.07","193326001"
442943,"912.0","211188009"
4307254,"829.0","423125000"
314962,"443.0","195295006"
376969,"333.82","49386006"
77317,"556.3","52506002"
252341,"493.01","91340006"
40481367,"556.5","441971007"
72714,"714.30","1961000"
76777,"711.90","396233005"
77025,"562.13","111359004"
77352,"711.06","267881005"
132702,"695.1","36715001"
133547,"686.00","70759006"
140486,"707.12","301023008"
194385,"442.1","36184004"
195559,"441.3","14336007"
197304,"707.10","95344007"
372912,"368.13","7751009"
373488,"378.51","194118007"
374645,"353.6","59603003"
377286,"368.44","12184005"
437082,"720.0","9631008"
438440,"383.30","16102009"
4101660,"V49.75","299652006"
4194056,"345.5","79348005"
197593,"560.30","62851005"
312773,"996.02","43873004"
433656,"E879.9","102476007"
80512,"737.19","413428007"
321414,"791.2","68600005"
376106,"348.9","23853001"
192683,"618.4","18973006"
313209,"426.2","4973001"
73574,"733.82","302941001"
437176,"E929.3","218250005"
434621,"279.4","85828009"
72993,"715.18","201829007"
134331,"344.60","8663007"
140057,"208.10","92812005"
196328,"003.0","42338000"
201338,"599.1","14981000"
373087,"997.09","87536007"
374835,"997.02","4069002"
375504,"292.9","11387009"
433516,"535.6","72007001"
435216,"250.91","420868002"
435216,"250.93","420868002"
437191,"E930.8","292920009"
437530,"272.8","267431006"
440508,"759.6","66091009"
4092217,"162.4","187864008"
4181484,"164.9","363494000"
74635,"353.4","2415007"
133810,"588.81","19034001"
193874,"788.36","8009008"
437828,"275.40","71638002"
439654,"345.40","192999003"
441039,"451.2","312588002"
443537,"453.41","404223003"
4180784,"142.0","363379000"
314409,"607.82","198029003"
432904,"364.41","75229002"
435457,"010.80","111832004"
4105359,"344.8","192974004"
201892,"552.00","38897008"
380669,"216.1","189053003"
78888,"824.9","48187004"
319038,"411.0","66189004"
434376,"410.10","54329005"
435100,"823.92","414943006"
443429,"371.57","392481002"
375815,"371.23","57207003"
438168,"414.10","65340007"
444100,"293.83","46206005"
440330,"088.0","266123003"
138346,"035","44653001"
436336,"053.19","111861003"
81097,"714.1","57160007"
435940,"812.21","90235006"
376420,"385.03","89058008"
439907,"727.60","268002004"
441969,"793.9","168501001"
434842,"E858.8","269688005"
438028,"977.8","7895008"
73553,"719.95","399269003"
376124,"372.51","87614000"
193402,"008.47","75375008"
196732,"579.2","77225009"
320115,"396.2","194735004"
135923,"749.00","87979003"
439141,"783.1","161833006"
444413,"780.31","41497008"
73571,"733.19","268029009"
138339,"038.19","111821004"
432295,"281.0","84027009"
439696,"404.91","194779001"
74582,"154.1","93984006"
194687,"615.0","198179003"
200485,"707.05","225563000"
256576,"934.1","11356007"
374022,"342.92","50582007"
40484522,"438.21","442676003"
133147,"173.5","94043000"
441628,"627.9","266677000"
375393,"870.0","14997005"
4068248,"738.1","203674009"
76240,"808.2","208164008"
77129,"808.8","91037003"
81696,"808.0","33118001"
140266,"922.3","11437003"
435510,"275.41","5291005"
201801,"183.2","371987000"
137345,"707.24","420597008"
195124,"902.20","68708005"
321882,"440.9","39823006"
373718,"171.0","126598008"
432593,"260","58262005"
201909,"628.9","6738008"
314090,"642.40","41114007"
197603,"560.2","9707006"
201894,"557.0","91489000"
434176,"802.1","40613008"
77963,"726.71","11654001"
81657,"715.23","201851004"
200174,"V13.3","80659006"
376961,"780.09","3006004"
437092,"783.40","274626005"
440069,"304.91","191816009"
443582,"719.94","428360003"
80249,"840.0","27182002"
440267,"974.1","69819005"
4194232,"345.0","79631006"
374053,"388.2","79471008"
438391,"270.0","16784003"
4056171,"600.9","197961004"
193165,"255.9","30171000"
4144997,"715.9","267893001"
136834,"820.20","89820008"
201388,"752.3","37849005"
438295,"985.3","50578005"
132408,"724.8","302258001"
374013,"332.1","230292008"
440623,"E939.2","292377004"
200461,"617.0","76376003"
259852,"482.4","22754005"
4062478,"V73.0","171115003"
137829,"284.89","306058006"
436091,"320.9","95883001"
439751,"196.1","94351005"
442182,"196.5","94395004"
79740,"153.8","109838007"
437703,"820.00","20100009"
4101609,"746.2","253468007"
74136,"728.10","268007005"
372629,"362.51","414875008"
438155,"377.14","1207009"
439795,"331.83","110352000"
194382,"455.5","23913003"
72993,"715.10","201829007"
381686,"780.03","24473007"
40479583,"512.1","441536000"
200970,"233.4","92691004"
372924,"433.01","20059004"
372924,"433.31","20059004"
75668,"846.9","111653006"
195906,"722.93","129139009"
315947,"847.1","274162005"
440002,"967.8","85337000"
440039,"079.89","186741005"
444362,"E950.2","86849004"
259055,"493.02","233681001"
434029,"364.10","398155003"
441751,"E935.3","269722001"
73553,"719.99","399269003"
138340,"038.12","186385009"
318775,"453.42","234049002"
432585,"287.9","64779008"
433599,"790.5","309195009"
436093,"286.6","67406007"
436670,"277.89","75934005"
439120,"733.42","29281007"
442610,"388.00","63696009"
198803,"600.2","266569009"
374371,"433.90","1055001"
441615,"595.3","74445007"
4223530,"720.9","84172003"
40482030,"602.3","445068007"
40490434,"790.91","448531004"
136916,"173.2","94019003"
257755,"996.84","44165003"
379756,"170.1","93886007"
433656,"E878.0","102476007"
440335,"143.1","371997009"
443564,"170.9","428281000"
198465,"564.7","33995003"
373724,"239.6","126952004"
4081756,"V67.1","183650005"
192360,"577.2","197464001"
198185,"403.01","90688005"
136710,"380.00","34129005"
4108067,"386","194381001"
4109880,"454.0","195445008"
136982,"374.05","44427000"
81931,"696.0","33339001"
435755,"173.1","94021008"
441712,"870.8","16998003"
442019,"998.9","116224001"
140027,"054.2","57920007"
439228,"E931.0","293032001"
4281232,"070.3","66071002"
133803,"522.7","74598008"
31317,"787.24","40739000"
73841,"719.59","202510005"
76034,"054.6","43891009"
195259,"355.1","85007004"
256449,"494.1","12295008"
374924,"345.10","65120008"
433246,"532.70","57940000"
433600,"794.9","29968005"
435849,"516.9","36042005"
439708,"307.42","194437008"
4147494,"289.2","267548000"
4272867,"V65.5","365275006"
438490,"642.51","198983002"
440465,"670.02","86569001"
434656,"435.1","34781003"
78831,"715.97","128138008"
434944,"379.00","78370002"
372325,"374.11","71659009"
434793,"852.20","7602002"
312336,"442.9","233981004"
376116,"368.41","38950008"
439037,"442.81","3827008"
439743,"137.0","187252008"
440631,"031.9","88415009"
133637,"945.20","52899007"
197751,"945.00","84677008"
432877,"312.20","386820009"
140823,"738.8","40668007"
132706,"703.9","17790008"
197810,"183.9","428322007"
201901,"572.0","27916005"
439035,"387.8","11543004"
4164222,"727.81","274141009"
372897,"368.46","34063005"
439147,"780.93","48167000"
443195,"E870.4","242993002"
434652,"379.42","63251006"
436397,"364.81","418801006"
4331070,"V18.51","429969003"
74125,"714.9","417373000"
24602,"211.0","92091003"
314958,"405.19","194785008"
443783,"585.2","27624003"
193528,"618.3","63871009"
261889,"491.0","61937009"
373190,"335.23","7379000"
4111255,"386.3","194363004"
77630,"716.91","118944007"
79116,"726.19","76318008"
437525,"278.02","238131007"
198928,"996.32","4002008"
433415,"112.81","63553008"
316866,"997.91","38341003"
437222,"079.6","55735004"
193402,"008.49","75375008"
74777,"825.21","79626009"
192759,"905.1","9341001"
374338,"362.29","46674002"
75971,"884.2","80355006"
77146,"883.2","23777003"
141663,"730.20","60168000"
432590,"297.1","48500005"
432800,"E966","219218005"
437243,"295.34","191555002"
443876,"301.4","1376001"
30441,"527.5","28826002"
134579,"145.0","371976008"
137813,"210.4","419958000"
193239,"562.01","56165008"
193519,"588.8","197663003"
194984,"572.8","235856003"
196625,"070.1","111879004"
198189,"567.29","235983003"
198964,"070.44","128302006"
257778,"033.9","27836007"
432301,"304.03","191821007"
434016,"305.51","191912005"
440694,"305.93","191937000"
442998,"E896","242479001"
4103471,"V85.24","301331008"
4340380,"V02.62","235872006"
4048727,"V76.81","15886004"
73553,"719.97","399269003"
372888,"355.0","367137004"
432352,"516.3","45157009"
441993,"907.9","111729006"
434085,"537.3","95532008"
312927,"415.0","49584005"
315831,"416.9","87837008"
433912,"940.9","71157005"
81665,"721.7","111232005"
432458,"806.00","8840000"
435459,"041.19","56038003"
437165,"E819.0","214031005"
437899,"421.0","266237004"
438905,"907.2","81642009"
192674,"558.3","266451002"
434883,"232.1","189277003"
73553,"716.98","399269003"
23245,"530.82","15238002"
25748,"150.8","109835005"
26638,"150.9","371984007"
193138,"150.5","371998004"
193250,"535.41","61401005"
198798,"537.84","109558001"
200764,"574.50","197398009"
317890,"396.0","194733006"
320739,"441.02","308546005"
435649,"458.21","85223007"
436136,"441.01","233994002"
441969,"793.4","168501001"
442310,"428.43","56675007"
443784,"537.82","27550009"
4090651,"V45.11","251859005"
75555,"386.35","409711008"
443367,"E942.6","293495006"
256622,"031.0","84353005"
440735,"390","24363009"
78786,"511.0","196075003"
80876,"887.2","56330003"
318772,"423.8","55855009"
27587,"527.7","78948009"
74806,"883.1","32348000"
138667,"V44.50","225577002"
138676,"038.40","53869006"
195834,"440.1","45281005"
196158,"607.9","33958003"
197032,"600.90","433234005"
381285,"356.1","50548001"
438788,"474.12","111591002"
140666,"205.90","188732008"
433742,"295.50","191559008"
439004,"295.60","26025008"
441835,"295.72","191570001"
140480,"684","48277006"
433877,"792.0","365718003"
432504,"E899","217176002"
29056,"527.2","42982001"
132703,"697.0","4776004"
200772,"558.1","197011006"
437996,"802.9","111609001"
4048727,"V76.9","15886004"
4097105,"208.9","188767008"
76685,"358.00","91637004"
373194,"374.31","30410001"
193437,"236.3","94837001"
381569,"374.32","53279002"
433527,"617.9","129103003"
438171,"429.5","274098004"
377554,"356.0","65017003"
439834,"395.1","78031003"
137856,"350.2","71303008"
432730,"784.40","47004009"
192560,"202.85","93196000"
440058,"200.70","93199007"
72457,"805.6","81425005"
136779,"719.93","128132009"
140266,"922.31","11437003"
140357,"237.4","94820008"
441765,"E888.0","302978003"
435459,"041.10","56038003"
4055642,"518.8","196141001"
435218,"295.64","30336007"
436067,"295.00","191527001"
78512,"718.47","267931000"
196654,"214.3","93157006"
73290,"718.48","7890003"
140586,"992.1","89797005"
201885,"531.41","85859006"
377888,"389.0","44057004"
437273,"365.52","111514006"
437384,"795.82","129454009"
438480,"648.80","39763004"
440755,"532.30","23693000"
442287,"440.22","52598005"
440927,"V58.64","243872007"
132583,"244.1","237527007"
193402,"008.5","75375008"
138056,"998.81","23851004"
258787,"512.0","196102003"
259852,"482.42","22754005"
437758,"V46.0","105501005"
4160859,"V02.54","432415000"
318169,"454.8","72866009"
320127,"422.92","64043005"
75637,"737.10","58407003"
78593,"881.02","9798005"
26935,"257.9","73820008"
77635,"715.04","118933004"
252658,"493.10","12428000"
257660,"747.42","68237008"
440927,"V58.63","243872007"
4098451,"257.1","190553000"
4218874,"747.41","39905002"
439221,"E939.0","45376003"
4068134,"733.1","203464003"
436926,"192.1","93747000"
80502,"733.09","64859006"
81390,"733.02","3345002"
78529,"737.39","203638000"
80512,"737.1","413428007"
444406,"410.70","70422006"
72618,"359.9","75047002"
256449,"494.0","12295008"
196433,"442.2","13290008"
197593,"560.39","62851005"
132344,"523.9","266418006"
433740,"279.3","234532001"
140020,"057.9","49882001"
201820,"250","73211009"
381282,"361.10","44268007"
198900,"897.6","73600009"
201449,"897.0","91559009"
201998,"897.2","88500006"
74082,"596.4","197870000"
77072,"719.07","4819006"
378087,"198.3","188462001"
76270,"917.9","80691007"
193253,"583.89","52845002"
437969,"734","53226007"
372924,"434.90","20059004"
4017388,"839.20","209074003"
141216,"078.0","40070004"
432546,"053.20","186525007"
316135,"426.10","233917008"
436700,"376.30","18265008"
441848,"352.9","73013002"
74188,"807.0","60667009"
133444,"245.9","82119001"
437165,"E819.7","214031005"
437973,"743.53","24210004"
440228,"812.40","269080004"
379010,"362.56","367649002"
252365,"582.1","77182004"
194871,"131.01","81598001"
435569,"526.9","37156001"
139850,"461.1","91038008"
140842,"782.8","274672009"
201254,"250.31","46635009"
373179,"331.2","45864009"
4115379,"715.15","201835007"
195587,"574.11","50450007"
194984,"573.8","235856003"
316139,"428","84114007"
438624,"E879.1","33603003"
201531,"250.23","190330002"
136580,"998.31","22247000"
192239,"053.13","76462000"
435144,"E890.9","271332009"
375738,"094.89","26039008"
377788,"094.1","51928006"
4239069,"815.0","91588005"
30061,"235.0","189362009"
317510,"208.80","93143009"
321661,"724.01","41341006"
438380,"200.11","188500005"
439745,"142.9","109828002"
199991,"996.81","58797008"
252949,"484.1","7678002"
260125,"466.19","5505005"
25518,"282.5","16402000"
440912,"E945.7","219036002"
441515,"174.5","93876006"
78771,"386.50","5239005"
317376,"786.06","271823003"
133351,"873.41","62104005"
73884,"807.03","79546008"
376208,"729.90","19660004"
433095,"E880.1","217092005"
440231,"815.09","52694000"
443545,"919.4","429305003"
440276,"996.69","31871009"
4096665,"250.0","190321005"
77637,"718.36","202245003"
136775,"692.72","11804009"
253788,"471.9","52756005"
4185471,"709.00","414032001"
432812,"E941.1","218829006"
440270,"969.0","82276009"
4067435,"716.9","202635007"
25844,"530.20","30811009"
80482,"711.00","372939007"
132706,"703.8","17790008"
134681,"530.5","79962008"
135491,"192.2","94068003"
192273,"227.0","91967007"
196369,"255.2","267395000"
315830,"413.1","87343002"
432585,"289.81","64779008"
4115173,"427.61","287057009"
434860,"049.0","398136003"
444055,"451.0","40283005"
193519,"588.89","197663003"
194406,"599.60","7163005"
197332,"618.2","198268002"
198124,"585.5","90708001"
376552,"851.81","269144002"
40480943,"618.02","441891001"
254388,"482.84","312403005"
4164770,"357.0","40956001"
435661,"802.6","49346003"
141667,"728.4","27911000"
197493,"070.52","235865005"
4263325,"702.1","46795000"
76130,"386.04","194351009"
22492,"933.0","25479004"
312931,"396.8","194737007"
75756,"188.4","188243001"
77812,"188.3","188242006"
137443,"996.52","22391002"
198674,"016.10","32268008"
435484,"188.0","94109006"
77647,"736.1","64298006"
76777,"711.95","396233005"
436238,"790.4","274774002"
4194160,"794.5","312399001"
30515,"750.3","253760004"
76153,"596.51","9009001"
140602,"996.40","213071006"
438879,"824.4","25899002"
435478,"143.0","372022008"
81336,"569.1","57773001"
442463,"E818.2","214595006"
443539,"E819.2","407153006"
134304,"227.1","92272009"
316535,"805.2","89825003"
261047,"478.31","195842003"
312928,"423.1","37715009"
320116,"420.90","15555002"
194406,"599.6","7163005"
434547,"E870.0","88797001"
435508,"255.4","386584007"
193144,"198.7","94161006"
318096,"196.9","94392001"
319844,"411.89","413439005"
440684,"297.0","191668004"
79903,"719.0","387637008"
4056045,"596.5","197874009"
435613,"682.8","128045006"
312337,"444.89","266262004"
75406,"927.3","10380004"
437165,"E819.9","214031005"
73575,"735.8","299567001"
77074,"719.48","57676002"
261116,"738.0","18283000"
4025009,"550.9","196828002"
75373,"813.15","69427008"
432744,"813.16","111641007"
436837,"813.06","72497001"
4278672,"V54.12","65966004"
137846,"339.05","279060001"
433048,"839.05","89130002"
438269,"805.05","269067002"
443360,"379.92","300849006"
200765,"575.11","20824003"
375801,"341.8","6118003"
4157605,"V09.91","372292006"
439025,"375.30","85777005"
74458,"726.60","39547005"
76191,"715.92","128131002"
196048,"184.0","372025005"
439221,"E942.1","45376003"
443238,"250.30","268519009"
138502,"709.01","56727007"
141004,"354.3","193137006"
312935,"459.32","234072000"
442603,"404.01","66610008"
442775,"722.51","68675004"
444031,"428.33","48447003"
4169658,"V60.4","276038000"
380688,"251.0","267384006"
443603,"E932.3","430400006"
374882,"215.2","286905003"
4346969,"717.6","239769003"
380575,"871.0","210284008"
4143966,"401","266228004"
26052,"161.9","371995001"
259755,"161.2","94075002"
437226,"147.9","240163000"
439746,"148.9","93831006"
441868,"377.00","248487006"
4018734,"848.3","209799008"
199876,"618.9","73998008"
201627,"626.9","301822002"
373995,"294.9","2776000"
316814,"786.01","68978004"
437841,"306.1","191952007"
193521,"579.1","47384003"
438749,"366.14","5318001"
438931,"E914","217835008"
254443,"710.2","83901003"
440374,"300.3","191736004"
138225,"706.9","3441005"
437854,"347","193042000"
138377,"202.11","94711005"
4096347,"274.00","190828008"
77068,"715.26","201854007"
437469,"E933.0","292565005"
437496,"386.12","186738001"
4104864,"346.9","193041007"
77358,"719.64","116311003"
375838,"388.32","28715001"
4112514,"478.32","195843008"
192364,"581.81","197603000"
193493,"403.1","193003"
320116,"420.0","15555002"
132841,"202.88","93197009"
76273,"880.00","12417004"
435578,"532.10","22511002"
196152,"567.9","48661000"
380096,"362.02","59276001"
443595,"E930.3","419056004"
434166,"800.30","111593004"
434166,"800.34","111593004"
194209,"903.5","210848009"
439221,"E941.2","45376003"
137275,"359.89","129565002"
195213,"255.10","88213004"
253549,"710.8","105969002"
255334,"710.9","81573002"
376686,"357.4","193186008"
432453,"780.99","365860008"
433746,"304.81","191873008"
434000,"255.12","190507007"
436098,"305.63","191920007"
437456,"966.3","42377002"
439005,"303.93","191813001"
439254,"296.53","191627008"
439976,"965.4","111757004"
440925,"E950.4","44301001"
441260,"292.0","363101005"
441828,"295.10","35252006"
4096271,"E935.1","292048006"
4287237,"757.32","69390003"
198678,"008.46","266071000"
373202,"370.00","91514001"
441701,"843.8","17883008"
72711,"719.51","249918006"
194152,"753.0","204938007"
381278,"339.02","193031009"
22350,"478.6","51599000"
28457,"474.11","46689006"
132853,"204.9","188725004"
312723,"746.9","13213009"
4082311,"204.1","277473004"
4091928,"208.1","188764001"
133570,"730.05","268016009"
192667,"535.11","84568007"
317971,"748.8","77868001"
433885,"812.41","58580000"
437524,"301.82","37746008"
440548,"821.20","263233008"
440690,"300.23","25501002"
443460,"733.15","409667007"
200660,"200.05","188493000"
438698,"202.81","93195001"
441241,"200.04","188492005"
441521,"202.84","93194002"
435150,"992.9","8824003"
132391,"680.0","37396007"
318776,"394.1","31085000"
260130,"478.33","195844002"
4181357,"189.1","363457009"
376938,"237.7","19133005"
441545,"300.81","397923000"
23731,"212.1","92175003"
140487,"694.0","111196000"
434007,"286.0","28293008"
434316,"286.4","128105004"
438658,"958.5","32144005"
444262,"017.00","8250007"
4025175,"519.0","196173007"
4097705,"208.0","188763007"
432311,"365.02","193534006"
444084,"495.9","37471005"
72990,"715.38","90860001"
192353,"575.8","39621005"
78228,"718.80","398993007"
435127,"907.0","74472004"
135975,"915.2","20149002"
440668,"210.1","92443005"
4141622,"493","266365004"
437217,"114.9","60826002"
136779,"712.33","128132009"
437064,"712.30","239838005"
139057,"528.9","41188003"
434842,"E858.9","269688005"
75932,"808.9","15474008"
76199,"718.35","429190007"
76791,"736.39","67321002"
132943,"523.3","21638000"
433452,"304.31","191837001"
438306,"969.6","85975005"
438946,"E854.1","216550002"
79115,"721.8","302934007"
194913,"337.0","86489003"
441493,"E942.4","293531002"
433996,"295.20","191542003"
380859,"802.20","207753003"
433038,"802.24","86559007"
441276,"305.03","191884001"
195771,"249.10","8801005"
318852,"743.51","85130008"
4062491,"V78.1","171201007"
4149299,"V54.89","310249008"
74511,"891.1","210686002"
133002,"730.00","409780002"
134141,"730.16","203189004"
200659,"200.03","95224004"
381551,"357.6","7339009"
434592,"200.30","109979007"
435758,"200.20","92516002"
437753,"V53.99","305859005"
439221,"E930.7","45376003"
440409,"376.9","371436007"
440828,"753.20","204967008"
4103638,"V49.76","299647001"
4247726,"202.9","93720005"
135777,"238.2","95087004"
136057,"216.5","92380000"
136775,"692.74","11804009"
432307,"352.3","73765005"
432582,"238.8","118616009"
437798,"153.7","94072004"
442167,"237.0","94808000"
444272,"692.3","86062001"
4058422,"V15.84","161635002"
4112525,"466.1","195741000"
4164792,"464.0","41048006"
436249,"821.21","66926007"
439162,"824.0","15385006"
441153,"821.23","30905007"
140976,"242.10","73869005"
432257,"153.1","94105000"
81721,"882.2","44957002"
436541,"813.82","71555008"
74124,"716.10","58188004"
80187,"726.31","53286005"
198446,"444.0","266263009"
315832,"413.0","59021001"
374371,"433.81","1055001"
435102,"819.0","208508004"
435944,"813.31","66246007"
437851,"365.01","35472004"
73842,"726.3","35185008"
75036,"715.14","201834006"
375246,"354.4","58850003"
4099797,"256.3","190548005"
4157447,"175","372095001"
72459,"807.02","3291007"
132704,"697.1","41890004"
4318111,"897.4","95860004"
378298,"996.51","29859007"
195583,"531.71","60531007"
198191,"537.0","13483000"
375551,"374.34","47704002"
381297,"374.51","6400008"
193530,"620.0","2615004"
440328,"041.2","16814004"
439221,"E930.5","45376003"
195197,"184.4","94143002"
435679,"851.41","82637004"
437501,"184.1","93850006"
440538,"813.44","33192001"
73553,"719.80","399269003"
201337,"596.9","42643001"
313219,"451.9","195394007"
433596,"786.4","274708000"
441132,"796.0","309158009"
4175786,"346.2","49605003"
444453,"215.3","92394004"
194913,"337.00","86489003"
441833,"292.2","25508008"
4112658,"483","195893007"
440653,"130.7","187192000"
4282316,"296.3","66344007"
72413,"728.83","29191005"
81695,"842.02","384710005"
433556,"717.43","77860008"
440508,"759.9","66091009"
438761,"375.32","25470000"
140960,"198.81","94297009"
437064,"712.36","239838005"
313800,"446.6","126729006"
320136,"508.8","50043002"
4264281,"829.1","397181002"
4250023,"298.0","73867007"
381832,"290.11","191452002"
135892,"695.89","86735004"
30770,"533.40","81518000"
435789,"281.3","53165003"
435810,"998.82","47337003"
441556,"365.51","32893002"
201773,"008.69","64613007"
372849,"191.8","109911004"
373105,"996.75","271968007"
4091490,"191.0","188280007"
74716,"676.60","71639005"
193666,"959.6","125600009"
75708,"937","211644003"
440865,"820.01","62125005"
373475,"369.74","22385004"
376691,"361.06","193325002"
378414,"361.89","42059000"
4100249,"290.1","191456004"
197911,"553.29","414399004"
4261613,"V62.3","4506002"
75311,"610.3","29070004"
433894,"826.1","74395007"
434854,"005.9","75258004"
372892,"348.31","50122000"
439603,"E895","217545000"
435782,"295.42","83746006"
26378,"253.1","10649000"
312327,"410.82","57054005"
136775,"692.70","11804009"
75128,"959.11","65978000"
198124,"753.12","90708001"
434614,"275.0","30913008"
435790,"289.0","44865000"
437390,"327.26","389087006"
4030270,"238.4","128841001"
4060985,"V85.33","162864005"
4100857,"278.03","190966007"
373962,"094.0","316841006"
40490423,"788.34","448521006"
78236,"728.2","88092000"
315273,"394.0","79619009"
372423,"742.2","204032005"
432537,"E965.0","219199009"
195862,"597.89","31822004"
436209,"823.81","75591007"
140168,"696.8","9014002"
321041,"396.1","194734000"
140062,"244.2","190279008"
201891,"537.83","29384001"
373198,"369.3","193730000"
443233,"862.8","269153009"
4088920,"V88.01","248942000"
80569,"887.0","51436006"
197724,"896.0","86914005"
432838,"151.0","93738008"
438367,"160.0","93917007"
201231,"171.6","188019007"
200528,"789.59","389026000"
433195,"362.34","87224000"
434547,"V64.41","88797001"
437818,"201.91","93524003"
4038835,"201.9","118599009"
73562,"720.2","239815007"
194091,"594.2","20342001"
439221,"E947.8","45376003"
4103722,"366","193623003"
434880,"170.8","94003005"
443357,"719.67","299413005"
134118,"701.8","400190005"
433753,"305.0","15167005"
193255,"620.8","266591002"
78267,"831.01","34565006"
73334,"832.02","4273008"
73336,"837.0","208981003"
137065,"707.25","421594008"
