omop_cdm_code,"icd9_code","snomed_ct_code"
132776,"959.8","213345000"
77030,"611.8","79604008"
135215,"245.2","21983002"
136368,"241.1","36241006"
140673,"244.9","40930008"
201078,"627.3","52441000"
201613,"571.8","79720007"
4062484,"V76.2","171149006"
4147837,"277.9","30390004"
432303,"305.60","78267003"
444132,"959.7","125601008"
444202,"682.9","128477000"
4148076,"707.1","35222003"
440878,"873.44","74058003"
73409,"091.1","31015008"
375545,"366.9","193570009"
4109544,"366.17","193590000"
192450,"788.2","267064002"
442286,"681.9","55399009"
442862,"914.0","211303008"
443677,"891.0","210682000"
4298697,"879.8","77129006"
73301,"727.05","287019009"
73673,"996.77","240266004"
77965,"727.03","1539003"
78508,"719.47","267954009"
79106,"719.45","267952008"
196858,"905.3","17194005"
372604,"333.99","60342002"
380094,"354.0","57406009"
432798,"996.4","5285008"
435141,"998.11","40470007"
435524,"780.50","39898005"
435726,"996.59","111746009"
440083,"308.9","67195008"
443454,"434.91","432504007"
444211,"715.95","128135006"
444239,"V45.4","128926000"
24966,"456.21","28670008"
26727,"578.0","8765009"
27674,"787.01","16932000"
28779,"456.20","17709002"
76611,"959.2","125594001"
76836,"844.9","269137006"
133141,"110.4","6020002"
137485,"038.43","86011004"
140648,"110.1","402134005"
141253,"246.9","14304000"
141499,"038.9","105592009"
192279,"250.40","127013003"
192680,"572.3","34742003"
192963,"577.8","3855007"
193688,"008.45","186431008"
194133,"724.2","279039007"
194405,"581.1","197590001"
195596,"577.1","235494005"
195867,"623.8","22741003"
196444,"569.84","235853006"
196463,"571.2","420054005"
197320,"584.9","14669001"
197675,"787.6","72042002"
197925,"569.3","266464001"
197950,"682.2","200655000"
198124,"593.9","90708001"
198678,"008.8","266071000"
198846,"726.5","30936004"
198995,"250.03","190371008"
199192,"911.0","78794000"
200391,"337.1","192917002"
200528,"789.5","389026000"
201065,"570","197268000"
201093,"686.9","19824006"
201254,"250.01","46635009"
201313,"403.90","38481006"
201343,"571.1","9953008"
201613,"571.9","79720007"
201618,"569.89","85919009"
201820,"250.10","73211009"
201965,"785.59","27942005"
254068,"478.9","201060008"
256448,"493.20","195949008"
258785,"481","233607000"
312437,"786.05","267036007"
313217,"427.31","49436004"
314968,"456.8","276504003"
319049,"518.81","65710008"
319843,"424.0","11851006"
321596,"459.81","20696009"
373449,"292.81","191492000"
374009,"310.9","111479008"
376065,"250.60","421326000"
376111,"369.8","193754005"
376401,"366.20","34361001"
377830,"291.0","8635005"
377861,"367.9","72128008"
378726,"291.2","281004"
381295,"366.10","39450006"
432789,"E935.2","292045009"
432870,"287.5","302215000"
433163,"263.8","238107002"
433163,"263.9","238107002"
433316,"780.4","271789005"
433595,"782.3","267038008"
434173,"780.6","248427009"
434310,"265.2","418186002"
434500,"820.8","359820003"
434547,"E878.1","88797001"
434610,"276.7","14140009"
435171,"995.3","106190000"
435243,"303.90","66590003"
435517,"276.2","51387008"
435742,"041.85","371583007"
436118,"366.53","193615000"
436230,"790.6","166318006"
